%time,field.mode0.x,field.mode0.y,field.mode0.th,field.mode1.x,field.mode1.y,field.mode1.th,field.mode2.x,field.mode2.y,field.mode2.th,field.mode3.x,field.mode3.y,field.mode3.th,field.mode4.x,field.mode4.y,field.mode4.th,field.mode10.x,field.mode10.y,field.mode10.th
1727189261241282939,2.0,0.0,90.0,2.00410795212,0.014363264665,89.7242507935,2.03858113289,-0.00971483532339,90.0566101074,2.00343942642,-0.00138658157084,89.7245788574,2.0,0.0,90.0,2.01422977448,0.00154947664123,89.9269561768
1727189261337233066,2.0,0.0,90.0,2.00410795212,0.014363264665,89.7117004395,2.03220105171,-0.0143677843735,89.9878997803,2.003947258,-4.11930195696e-05,89.7161712646,2.0,0.0,90.0,2.01210308075,-1.50658502207e-06,89.8998641968
1727189261437032938,2.0,0.0,90.0,2.00410795212,0.014363264665,89.6991500854,2.03915452957,-0.0141706159338,90.0403747559,2.003947258,-4.11930195696e-05,89.7036209106,2.0,0.0,90.0,2.01442074776,6.42164450255e-05,89.9131774902
1727189261537080049,2.0,0.0,90.0,2.00410795212,0.014363264665,89.7242660522,2.03732609749,-0.0165190398693,90.0501861572,2.00362229347,0.0015751743922,89.7250518799,2.0,0.0,90.0,2.01381134987,-0.000718591734767,89.9248199463
1727189261637864112,2.0,0.0,90.0,2.00410795212,0.014363264665,89.6865921021,2.0363407135,-0.0141068091616,90.0014038086,2.00362229347,0.0015751743922,89.6873779297,2.0,0.0,90.0,2.01348280907,8.54853715282e-05,89.8959960938
1727189261739054918,2.0,0.0,90.0,2.00411725044,0.0143709834665,89.7369003296,2.04379677773,-0.0118444943801,90.1195755005,2.00311565399,9.29397865548e-05,89.7335128784,2.0,0.0,90.0,2.0159714222,0.000842163048219,89.9521560669
1727189261837009906,2.0,0.0,90.0,2.00451731682,0.0144023774192,89.7530822754,2.04678034782,-0.00313156773336,90.1524734497,2.00311565399,9.29397865548e-05,89.7460632324,2.0,0.0,90.0,2.01709914207,0.00375693663955,89.9685211182
1727189261936954021,2.0,0.0,90.0,2.00410795212,0.014363264665,89.6740341187,2.03948426247,-0.01142010279,90.016166687,2.00311565399,9.29397865548e-05,89.6707382202,2.0,0.0,90.0,2.01453065872,0.000981054152362,89.896736145
1727189262036927938,2.0,0.0,90.0,2.00450801849,0.0143948942423,89.7027816772,2.03679990768,-0.0120869418606,90.016708374,2.0033056736,-0.000481455266709,89.697845459,2.0,0.0,90.0,2.0137693882,0.000769317615777,89.9064941406
1727189262136919975,2.0,0.0,90.0,2.00410795212,0.014363264665,89.6991424561,2.03767871857,-0.0137713775039,90.0262374878,2.0033056736,-0.000481455266709,89.697845459,2.0,0.0,90.0,2.01392889023,0.000197295899852,89.9084625244
